Category,Sum Sales,Count
Arts & Crafts,128023978.5,8567250
Automotive,190774329.0,6705850
Baby,193265155.5,8297250
Beauty & Personal Care,581920989.5,35201500
Books & Media,72084953.5,1174100
Electronics,36154933.5,1145900
Fashion,213844485.5,10094450
Health & Household,480233136.0,24685850
Home & Kitchen,792094579.5,27474800
Pets,160083948.0,7094750
Seasonal & Party Supplies,63561161.0,4152950
Tools & Improvement,172074451.0,5271350
Toys & Games,278922907.5,12233200
