Category,Sum Sales,Count
"PlayStation 3 Games, Consoles & Accessories",41373.0,2100
"PlayStation 4 Games, Consoles & Accessories",6942214.5,172250
"PlayStation 5 Consoles, Games & Accessories",950535.0,23750
"PlayStation Vita Games, Consoles & Accessories",121652.0,3050
Portable Audio & Video,4171977.0,167400
Power Tools & Hand Tools,35880734.5,1026200
Power Transmission Products,496578.5,37300
Pregnancy & Maternity Products,7723706.0,325350
Printmaking Supplies,7244766.0,145050
Professional Dental Supplies,5710796.0,347850
Professional Medical Supplies,6229715.0,262850
Pumps & Plumbing Equipment,1649816.5,53600
Puppets & Puppet Theaters,727694.0,42000
Puzzles,8685167.5,450600
RV Parts & Accessories,12979277.0,332200
Rain Umbrellas,3000117.0,154200
Reptiles & Amphibian Supplies,1578549.0,85000
Retail Store Fixtures & Equipment,5454686.5,247050
Safety & Security,46180336.5,1768700
Science Education Supplies,435143.0,13550
Scrapbooking & Stamping Supplies,8775908.0,500500
Seasonal Décor,17098628.5,728850
Security & Surveillance Equipment,565647.0,19500
Sewing Products,20580785.5,1509950
Sexual Wellness Products,28236990.5,1406700
Shaving & Hair Removal Products,54800154.0,2180450
Skin Care Products,119996888.5,6612150
"Slot Cars, Race Tracks & Accessories",1244389.0,37200
Small Animal Supplies,2729957.5,126500
Smart Home - Heating & Cooling,2138164.5,11600
Smart Home Thermostats - Compatibility Checker,0.0,0
Smart Home: Home Entertainment,27799.0,100
Smart Home: Lawn and Garden,1929919.5,12900
Smart Home: Lighting,11790.0,550
Smart Home: New Smart Devices,1066845.0,4800
Smart Home: Other Solutions,4126278.0,31300
Smart Home: Plugs and Outlets,10603.0,600
Smart Home: Security Cameras and Systems,6998.0,200
Smart Home: Smart Locks and Entry,0.0,0
Smart Home: Vacuums and Mops,3461794.5,15550
Smart Home: Voice Assistants and Hubs,29000.0,1000
Smart Home: WiFi and Networking,0.0,0
"Sony PSP Games, Consoles & Accessories",13322.5,500
Sports & Fitness,92678625.0,4037850
Sports & Outdoor Play Toys,31909310.0,1220650
Sports & Outdoors,76251321.5,2969650
Sports Nutrition Products,90938064.0,3075000
Stationery & Gift Wrapping Supplies,1430377.0,122350
Stuffed Animals & Plush Toys,7211486.0,353750
Suitcases,1965995.5,17300
Tablet Accessories,173479.5,7200
Tablet Replacement Parts,0.0,0
Televisions & Video Products,2541146.5,104300
"Test, Measure & Inspect",6091571.0,143700
Toilet Training Products,4800157.0,204050
Tools & Home Improvement,55595986.0,2143900
Toy Figures & Playsets,20219792.5,924550
Toy Vehicle Playsets,1588055.5,50200
Toys & Games,135394508.5,5858000
Travel Accessories,9838086.5,680900
Travel Duffel Bags,2707386.5,80950
Travel Tote Bags,1039946.0,52900
"Tricycles, Scooters & Wagons",6564385.5,149800
Vacuum Cleaners & Floor Care,82695750.0,827450
Vehicle Electronics,7174711.5,222300
Video Game Consoles & Accessories,78701.5,4050
Video Games,60846868.5,923450
Video Projectors,573839.0,8100
Virtual Reality Hardware & Accessories,109622.5,1850
Vision Products,7658866.5,635200
Wall Art,3098301.0,187200
Wearable Technology,1220792.5,20400
Welding & Soldering,3139843.5,81250
Wellness & Relaxation Products,49533504.0,1744300
"Wii Games, Consoles & Accessories",69214.0,2550
"Wii U Games, Consoles & Accessories",359316.5,12150
Women's Accessories,16315214.0,1020500
Women's Clothing,67695103.0,2797000
Women's Handbags,15659656.5,527400
Women's Jewelry,25599506.5,1773300
Women's Shoes,16323339.5,389800
Women's Watches,2323568.0,68700
"Xbox 360 Games, Consoles & Accessories",538222.0,15400
"Xbox One Games, Consoles & Accessories",2068048.5,35900
"Xbox Series X & S Consoles, Games & Accessories",2486545.0,42300
eBook Readers & Accessories,4735.0,200
