Category,Sum Sales,Count
Arts & Crafts,92.44,8
Automotive,3507.0,76
Baby,140458.14,2754
Beauty & Personal Care,78463.17,3534
Books & Media,4965.91,27
Electronics,3376.02,60
Fashion,19436.84,446
Health & Household,174067.55,4400
Home & Kitchen,55341.65,2085
Pets,4858.18,74
Seasonal & Party Supplies,3024.7,119
Sports & Outdoors,1377951.24,11158
Tools & Improvement,1320.96,30
Toys & Games,140128.98,870
